site,plot_id,X,Y,freshAGB_gm_0.25m2,dryAGB_gm_0.25m2
1,1,299288.0099,1291470.617,628.1,143.3
1,2,300193.2677,1291638.257,639.7,163.2
1,3,299874.751,1291269.448,743.6,196.1
1,4,299606.5265,1291655.021,616.6,180.8
2,5,298860.3666,1293426.717,665.5,176.5
2,6,298840.4413,1293215.353,543.6,143.9
2,7,298764.2412,1293120.103,683.4,152.5
2,8,299090.4335,1293808.021,675,164.2
3,9,298489.6394,1294359.301,337.6,129.1
3,10,298584.7498,1294327.938,361,119
3,11,298725.3836,1294134.67,345.7,114.1
3,12,298526.4744,1294416.226,331.4,114.4
4,13,302173.6158,1293838.886,707.1,207.8
4,14,302173.6158,1293838.886,801.1,205.6
4,15,302173.6158,1293838.886,542.2,198
4,16,302173.6158,1293838.886,721,190.3
5,17,301166.7168,1294208.922,699.5,176
5,18,301261.967,1294335.922,689.1,174.3
5,19,301187.3544,1294354.437,680.2,174.2
5,20,301109.5667,1294361.322,480.7,159.6
6,21,300775.9638,1293908.822,787.8,198.2
6,22,300839.464,1294099.322,663.4,191.9
6,23,300482.6873,1294353.338,704.6,188
6,24,300655.3136,1294143.772,403.2,136.1
7,25,302347.429,1294635.455,667.5,176
7,26,302135.7619,1294439.663,778,211.1
7,27,302014.0534,1294709.539,718.7,220.4
7,28,302482.3668,1294558.726,678.2,186.5
8,29,300510,1295070,579.8,173.1
8,30,300436.1602,1295218.532,424,165.1
8,31,300343.5558,1295367.36,532.1,140.6
8,32,300363.3996,1295086.24,377.8,131.1
9,33,304212.5684,1295808.031,817,255.8
9,34,304437.4647,1296145.375,668.4,214.2
9,35,304424.2355,1296595.168,771.3,213.4
9,36,304847.5696,1296092.459,723.3,178
10,37,305238.2778,1297934.858,561.9,170.8
10,38,305579.591,1297664.982,405,156.5
10,39,305932.8104,1298081.702,916.2,236.6
10,40,304972.371,1298010.264,817.1,266.8
11,41,295251.1856,1297453.564,932.1,387.15
11,42,294858.7249,1297248.511,1294.9,342.1
11,43,294874.5999,1297300.634,1142.1,320
11,44,294849.1504,1297217.555,980.6,317.1
12,45,294097.203,1299448.085,688.4,200.1
12,46,293986.0778,1299178.21,710.1,190.8
12,47,294295.6409,1299075.022,681.3,190.4
12,48,294144.8281,1298749.584,540.8,187.4
13,49,294671.181,1302240.226,389.1,138.4
13,50,294876.4981,1302227.526,478.8,129.7
13,51,294781.2479,1302327.01,405.2,105.2
13,52,294851.098,1302382.043,301.1,89.1
14,53,315450,1294440,1010.5,329
14,54,315465.9099,1294261.887,1120.6,317.3
14,55,315656.4103,1294236.487,1268.6,300.4
14,56,315611.9602,1294338.087,1072,291.1
15,57,316314.4284,1294674.413,916.2,236.6
15,58,316130.278,1294509.312,719,232
15,59,316327.1284,1294515.662,721.6,214.4
15,60,316276.3283,1294375.962,744.2,192.6
16,61,315943.5356,1295002.063,568.4,194.2
16,62,315750,1294980,653.9,174.1
16,63,315848.2854,1294792.513,665.3,162.5
16,64,315873.6855,1294913.163,423.2,161.1
17,65,323218.4949,1285036.296,440,133.2
17,66,323403.7036,1285191.077,327.8,103.3
17,67,323595.5269,1284840,288.5,86
17,68,323446.037,1284979.41,269.4,76.2
18,69,326019.5704,1285304.254,1268.8,353.8
18,70,326594.5111,1284379.269,1130.2,343.7
18,71,326770.5735,1284883.566,1121.8,340.6
18,72,326356.9148,1284835.941,878.8,337.6
19,73,326340.1848,1286111.346,770.6,256.6
19,74,326576.7227,1286185.959,592.2,204.9
19,75,327005.3486,1285638.27,823.2,198.4
19,76,326696.1824,1286410.591,698.5,175.8
20,77,327470.8102,1287519.773,543,158.5
20,78,328173.2804,1288349.243,659.9,150.8
20,79,327827.9984,1287932.524,639.6,154.2
20,80,327827.9984,1287511.836,393.5,141.1
21,81,349550.7733,1321365.868,618.9,206.8
21,82,351250.7246,1322358.057,554.1,178.4
21,83,351005.9845,1321782.587,615.9,137.3
21,84,351336.7143,1322047.171,405.8,121.2
22,85,324880.2678,1356943.389,971.5,314.2
22,86,323768.0912,1356493.561,699.7,256.1
22,87,324579.6781,1356886.583,747.4,251
22,88,324256.2484,1356783.28,840.6,202.8
23,89,312249.2189,1306411.787,465.3,130.4
23,90,312334.1479,1306163.078,410.9,108
23,91,312506.1274,1305958.026,270.1,74.6
23,92,312102.8435,1305866.5,260.5,73.8
24,93,323268.6145,1283655.668,872.2,266.8
24,94,323224.9581,1283238.949,798.6,252.8
24,95,322268.4875,1284239.076,851.5,215.5
24,96,323157.4893,1283381.824,822.2,271.1
25,97,325849.8697,1283698.378,790.6,260.9
25,98,325805.4196,1283747.061,730.5,201.8
25,99,325809.6529,1283679.328,702.5,180.8
25,100,325894.3198,1283738.595,256.6,72.8
